"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"246","246","바다수퍼 해물천하 조개구이.찜","파주시 법원읍 사임당로 820","경기도 파주시 법원읍 대능리 94-144","37.8493992807","126.8717225346","재확인 필요","37.8494832","126.8714138","무진장순대국","경기 파주시 법원읍 사임당로 816 무진장순대국","","네이버 지도","https://map.naver.com/p/search/%EB%AC%B4%EC%A7%84%EC%9E%A5%EC%88%9C%EB%8C%80%EA%B5%AD%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%82%AC%EC%9E%84%EB%8B%B9%EB%A1%9C%20816","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"423","423","베로키오","파주시 탄현면 새오리로 74","경기도 파주시 탄현면 성동리 87-3","37.7908802915","126.6856397612","재확인 필요","37.7872015","126.7003221","물고기자리","경기 파주시 탄현면 헤이리마을길 48-48 물고기자리","","네이버 지도","https://map.naver.com/p/search/%EB%AC%BC%EA%B3%A0%EA%B8%B0%EC%9E%90%EB%A6%AC%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%83%84%ED%98%84%EB%A9%B4%20%ED%97%A4%EC%9D%B4%EB%A6%AC%EB%A7%88%EC%9D%84%EA%B8%B8%2048-48","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"104","104","바삭옛날통닭","파주시 새꽃로 25 (금촌동) 103호","","37.752189","126.7683851","확인 완료","37.7579973","126.7723137","미몽 파주금촌점","경기 파주시 동산8길 39 1층","","네이버 지도","https://map.naver.com/p/search/%EB%AF%B8%EB%AA%BD%20%ED%8C%8C%EC%A3%BC%EA%B8%88%EC%B4%8C%EC%A0%90%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%8F%99%EC%82%B08%EA%B8%B8%2039%20%28%EA%B8%88%EC%B4%8C%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"248","248","솥뚜껑삼겹살","파주시 법원읍 사임당로 814","","37.8495184","126.8712524","확인 완료","","","버섯집초리골","경기 파주시 법원읍 초리골길 23","","네이버 지도","https://map.naver.com/p/search/%EB%B2%84%EC%84%AF%EC%A7%91%20%EC%B4%88%EB%A6%AC%EA%B3%A8%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%B4%88%EB%A6%AC%EA%B3%A8%EA%B8%B8%2012","미확인","반려","반려","아니오","2026-09-10 네이버 지도 상세 POI가 초리골길 23으로 표시되어 정본 도로명 초리골길 12와 불일치; 좌표 미반영 반려"
"447","447","소풍N","파주시 파주읍 우계로 24","경기도 파주시 파주읍 파주리 543-6","37.8293987346","126.81489712","재확인 필요","37.8304295","126.8155108","봉황가","경기 파주시 파주읍 우계로 35-1 1층","","네이버 지도","https://map.naver.com/p/search/%EB%B4%89%ED%99%A9%EA%B0%80%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%EC%A3%BC%EC%9D%8D%20%EC%9A%B0%EA%B3%84%EB%A1%9C%2035-1","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"214","214","상원각","파주시 문산읍 문향로 35","경기도 파주시 문산읍 문산리 15-5","37.8550642959","126.7856996773","재확인 필요","37.8583631","126.785178","삼산회관 파주문산점","경기 파주시 문산읍 문향로 71 107호","","네이버 지도","https://map.naver.com/p/search/%EC%82%BC%EC%82%B0%ED%9A%8C%EA%B4%80%20%ED%8C%8C%EC%A3%BC%EB%AC%B8%EC%82%B0%EC%A0%90%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%ED%96%A5%EB%A1%9C%2071","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"215","215","숯불에닭 문산점","파주시 문산읍 문산로40번길 41 상가 118호, 119호","경기도 파주시 문산읍 문산리 37-3","37.8555076252","126.7843517609","재확인 필요","37.855015","126.785764","상원각","경기 파주시 문산읍 문향로 35 헤어닥터미용실","","네이버 지도","https://map.naver.com/p/search/%EC%83%81%EC%9B%90%EA%B0%81%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%ED%96%A5%EB%A1%9C%2035","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"413","413","샤브올데이 파주봉일천점","파주시 조리읍 통일로 292 1층","경기도 파주시 조리읍 봉일천리 215-10","37.7426378392","126.8115121346","재확인 필요","37.7443078","126.8046568","상원포크","경기 파주시 조리읍 봉천로 63","","네이버 지도","https://map.naver.com/p/search/%EC%83%81%EC%9B%90%ED%8F%AC%ED%81%AC%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A1%B0%EB%A6%AC%EC%9D%8D%20%EB%B4%89%EC%B2%9C%EB%A1%9C%2063","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"455","455","임꺽정 한우마을","파주시 파평면 화석정로 104","경기도 파주시 파평면 율곡리 580-6","37.8821146492","126.8027179241","재확인 필요","37.938332","126.8701738","샘내손두부","경기 파주시 파평면 청송로 551-7 덕천리 408~3","","네이버 지도","https://map.naver.com/p/search/%EC%83%98%EB%82%B4%20%EC%86%90%EB%91%90%EB%B6%80%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%ED%8F%89%EB%A9%B4%20%EC%B2%AD%EC%86%A1%EB%A1%9C%20551-7","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"195","195","씨케이미용실(CK 헤어)","파주시 문산읍 당동2로 11-5","경기도 파주시 문산읍 당동리 889-2","37.8674416249","126.7845633759","재확인 필요","37.8572492","126.7852158","샴푸의요정","경기 파주시 문산읍 문향로 60-1 2층 샴프의요정4","","네이버 지도","https://map.naver.com/p/search/%EC%83%B4%ED%91%B8%EC%9D%98%EC%9A%94%EC%A0%95%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%ED%96%A5%EB%A1%9C%2060-1","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
"101","101","테마모텔","파주시 중앙로 272 (금촌동)","경기도 파주시 금촌동 768-14","37.7603522554","126.777593734","재확인 필요","37.7637942","126.7755209","성심모텔","경기 파주시 아동로 4-3","","네이버 지도","https://map.naver.com/p/search/%EC%84%B1%EC%8B%AC%EB%AA%A8%ED%85%94%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%8F%99%EB%A1%9C%204-3%20%28%EA%B8%88%EC%B4%8C%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음"
