"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"187","187","롯데리아 동두천점","경기도 동두천시 중앙로270(생연동)","","37.9056444","127.0542716","확인 완료","37.9055758","127.0541648","롯데리아 동두천점","경기 동두천시 중앙로 270","","네이버 지도","https://map.naver.com/p/search/%EB%A1%AF%EB%8D%B0%EB%A6%AC%EC%95%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C270%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"123","123","리안헤어 동두천지행역점","경기도 동두천시 지행로56, 205호(지행동)","","37.8920833","127.0533841","확인 완료","","","","","","","https://map.naver.com/p/search/%EB%A6%AC%EC%95%88%ED%97%A4%EC%96%B4%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A7%80%ED%96%89%EC%97%AD%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C56%2C%20205%ED%98%B8%28%EC%A7%80%ED%96%89%EB%8F%99%29","미확인","보류","보류","아니오","2026-09-10 업소명 + 정본 주소로 네이버 지도에서 직접 특정 가능한 POI를 확인하지 못해 좌표 미반영 보류"
"124","124","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","","37.8930182","127.0538205","확인 완료","","","","","","","https://map.naver.com/p/search/%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20%2C%20202%ED%98%B8%28%EC%A7%80%ED%96%89%EB%8F%99%29","미확인","보류","보류","아니오","2026-09-10 업소명 + 정본 주소로 네이버 지도에서 직접 특정 가능한 POI를 확인하지 못해 좌표 미반영 보류"
"125","125","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","","37.9066868","127.0583546","확인 완료","37.9066817","127.0583233","박미라헤어스토리","경기 동두천시 평화로 2452-1","","네이버 지도","https://map.naver.com/p/search/%EB%B0%95%EB%AF%B8%EB%9D%BC%20%ED%97%A4%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2452-1%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"126","126","보배헤어샵","경기도 동두천시 중앙로286번길 21-3(생연동)","","37.9072394","127.0554639","확인 완료","37.9072643","127.0554475","보배헤어샵","경기 동두천시 중앙로286번길 21-3","","네이버 지도","https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C286%EB%B2%88%EA%B8%B8%2021-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"127","127","삐삐머리방","경기도 동두천시 평화로2530번길 35(보산동)","","37.9137556","127.0597922","확인 완료","37.913729","127.059808","삐삐머리방","경기 동두천시 평화로2530번길 35","","네이버 지도","https://map.naver.com/p/search/%EC%82%90%EC%82%90%EB%A8%B8%EB%A6%AC%EB%B0%A9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2530%EB%B2%88%EA%B8%B8%2035%28%EB%B3%B4%EC%82%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"131","131","신지미헤어라인","경기도 동두천시 광암로33번길 13-10(광암동)","","37.8960534","127.0851728","확인 완료","37.8960569","127.0851685","신지미헤어라인","경기 동두천시 광암로33번길 13-10","","네이버 지도","https://map.naver.com/p/search/%EC%8B%A0%EC%A7%80%EB%AF%B8%ED%97%A4%EC%96%B4%EB%9D%BC%EC%9D%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B4%91%EC%95%94%EB%A1%9C33%EB%B2%88%EA%B8%B8%2013-10%28%EA%B4%91%EC%95%94%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"170","170","요리하는경더기","경기도 동두천시 중앙로134-20, 3층(지행동)","","37.8930182","127.0538205","확인 완료","","","","","","","https://map.naver.com/p/search/%EC%9A%94%EB%A6%AC%ED%95%98%EB%8A%94%EA%B2%BD%EB%8D%94%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20%2C%203%EC%B8%B5%28%EC%A7%80%ED%96%89%EB%8F%99%29","미확인","보류","보류","아니오","2026-09-10 업소명 + 정본 주소로 네이버 지도에서 직접 특정 가능한 POI를 확인하지 못해 좌표 미반영 보류"
"174","174","으뜸코다리냉면","경기도 동두천시 생연로170-2, 1층(생연동)","","37.9076616","127.0526978","확인 완료","","","","","","","https://map.naver.com/p/search/%EC%9C%BC%EB%9C%B8%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%83%89%EB%A9%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C170-2%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미확인","보류","보류","아니오","2026-09-10 업소명 + 정본 주소로 네이버 지도에서 직접 특정 가능한 POI를 확인하지 못해 좌표 미반영 보류"
"176","176","장단콩터","경기도 동두천시 생연로119-1, 1층(생연동)","","37.9033102","127.0509794","확인 완료","","","","","","","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%84%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C119-1%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미확인","보류","보류","아니오","2026-09-10 업소명 + 정본 주소로 네이버 지도에서 직접 특정 가능한 POI를 확인하지 못해 좌표 미반영 보류"
