"정본CSV행번호","업소명","시도","시군구","소재지도로명주소","소재지지번주소","혜택상태","좌표검토상태","지도표시정책","혜택검토상태","출시판정","좌표검토행수","혜택검토행수","정본반영여부"
"36","크레올 바버샵","서울특별시","서대문구","서울특별시 서대문구 연희로15길 35 (연희동)","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"37","예가미용실","서울특별시","서초구","서울특별시 서초구남부순환로356길55(양재동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"38","옐로치킨07&바로돈까스","서울특별시","성북구","서울특별시 성북구아리랑로19길48(정릉동, (1츧))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"39","더벙커 맨즈헤어 바버샵 목동본점","서울특별시","양천구","서울특별시 양천구 오목로 337-10, 2층 205호","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"40","GTS버거 문래점","서울특별시","영등포구","서울특별시 영등포구문래로151(문래동3가)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"41","다함압구정김밥","서울특별시","영등포구","서울특별시 영등포구여의대방로197(신길동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"42","문경밥상","서울특별시","영등포구","서울특별시 영등포구여의대방로47라길31(신길동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"43","미각식당","서울특별시","영등포구","서울특별시 영등포구가마산로89길3(신길동, 1층)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"44","마우나커피","서울특별시","영등포구","서울특별시 영등포구여의대방로43길11- 5(신길동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"45","브레드05","서울특별시","영등포구","서울특별시 영등포구여의대방로43나길4(신길동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"46","요거프레소 대방점","서울특별시","영등포구","서울특별시 영등포구가마산로587(신길동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"47","카페보니또 영등포1호점","서울특별시","영등포구","서울특별시 영등포구여의대방로203(신길동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"48","해군호텔 블랙앤브라운","서울특별시","영등포구","서울특별시 영등포구가마산로538(신길동, 해군호텔 1층)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"49","나인트리 프리미어 로카우스 호텔 서울 용산","서울특별시","용산구","서울특별시 용산구 한강대로23길 25","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"50","아노브 이태원","서울특별시","용산구","서울특별시 용산구이태원로20가길7- 5(이태원동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"51","피그가든","서울특별시","용산구","서울특별시 용산구한강대로270(남영동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"52","가위소리","서울특별시","은평구","서울특별시 은평구진관3로21(진관동, (엘크루상가 126호))","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"53","디얼스 이마트은평점","서울특별시","은평구","서울특별시 은평구은평로111(응암동, (이마트 8층 디얼스 미용실))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"54","수헤어","서울특별시","은평구","서울특별시 은평구가좌로12길15(신사동, (은평신사 두산위브 2차 상가))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"55","어반제이슨헤어 연신내점","서울특별시","은평구","서울특별시 은평구통일로885(갈현동)","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"56","엘룬헤어","서울특별시","은평구","서울특별시 은평구연서로29길7(갈현동, (2층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"57","솔찬 장칼국수 구파발본점","서울특별시","은평구","서울특별시 은평구북한산로2(진관동, (금호어울림10단지 1028동 1층상가 102호))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"58","인생돈카츠 불광본점","서울특별시","은평구","서울특별시 은평구통일로65길12- 10(대조동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"59","명동케이갈비","서울특별시","중구","서울특별시 중구명동3길52, 3층 (명동1가)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"60","횃불식당","경기도","가평군","경기도 가평군가평읍용추로171번길16(가평읍승안리, 횃불식당)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"61","플로레카페","경기도","가평군","경기도 가평군청평면에덴벚꽃길39- 1(청평면상천리)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"62","송화","경기도","고양시","경기도 고양시 덕양구수역이길25(성사동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","1","0","아니오"
"63","달려라행복이 달행이네 과일&음료","경기도","고양시","경기도 고양시 덕양구토당로104번길22- 191층 (토당동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"64","순헤어","경기도","과천시","경기도 과천시별양로28B동1069호(원문동, 슈르상가)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"65","오신우헤어","경기도","과천시","경기도 과천시별양상가2로353동204호(별양동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"66","자스 아일랜드","경기도","과천시","경기도 과천시별양로28B동1089호1층 (원문동, 건물후면 GS편의점 옆)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"67","만나떡볶이","경기도","과천시","경기도 과천시별양상가2로35118호1층 (별양동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"68","메종카소","경기도","과천시","경기도 과천시관문로92A동216호(중앙동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"69","바른국수 둥이네","경기도","과천시","경기도 과천시별양상가로714호지하1층 (별양동, 벽산빌딩)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"70","스톨커피","경기도","과천시","경기도 과천시뒷골2로1(과천동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"71","카페공간","경기도","과천시","경기도 과천시과천대로7길20150호B층 (갈현동, 스마트케이)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"72","구이대장쪽갈비 광명역점","경기도","광명시","경기도 광명시오리로169(일직동, 1층 구이대장쪽갈비 광명역점)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"73","만복국수(철산점)","경기도","광명시","경기도 광명시철산로30번길9(철산동, 프라자빌딩 2층)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"88","준하헤어","경기도","군포시","경기도 군포시대야1로8102호(대야미동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"89","궁안골","경기도","군포시","경기도 군포시수리산로191- 0(산본동, 해아름빌리지)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"90","남궁가 족발","경기도","군포시","경기도 군포시대야1로22- 2(대야미동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"91","선한 게장","경기도","군포시","경기도 군포시산본로431번안길3- 7(산본동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
