"정본CSV행번호","업소명","소재지도로명주소","소재지지번주소","참고POI상호","참고POI도로명주소","참고POI지번주소","원본주소지도검색URL","참고POI지도검색URL","POI조회어","POI조회방식","APIHUB조회어지도검색URL","지도대조결과","검토결정","정본반영여부","감사제안위도","감사제안경도","비고"
"124","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","","","","","https://map.naver.com/p/search/%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20%2C%20202%ED%98%B8%28%EC%A7%80%ED%96%89%EB%8F%99%29","","마샹스헤어살롱 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"125","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","","","","","https://map.naver.com/p/search/%EB%B0%95%EB%AF%B8%EB%9D%BC%20%ED%97%A4%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2452-1%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","박미라 헤어스토리 경기도 동두천시 평화로2452-1(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EB%B0%95%EB%AF%B8%EB%9D%BC%20%ED%97%A4%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2452-1%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"126","보배헤어샵","경기도 동두천시 중앙로286번길 21-3(생연동)","","","","","https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C286%EB%B2%88%EA%B8%B8%2021-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","보배헤어샵 경기도 동두천시 중앙로286번길 21-3(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C286%EB%B2%88%EA%B8%B8%2021-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"127","삐삐머리방","경기도 동두천시 평화로2530번길 35(보산동)","","","","","https://map.naver.com/p/search/%EC%82%90%EC%82%90%EB%A8%B8%EB%A6%AC%EB%B0%A9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2530%EB%B2%88%EA%B8%B8%2035%28%EB%B3%B4%EC%82%B0%EB%8F%99%29","","삐삐머리방 경기도 동두천시 평화로2530번길 35(보산동)","전체 주소 검색","https://map.naver.com/p/search/%EC%82%90%EC%82%90%EB%A8%B8%EB%A6%AC%EB%B0%A9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2530%EB%B2%88%EA%B8%B8%2035%28%EB%B3%B4%EC%82%B0%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"131","신지미헤어라인","경기도 동두천시 광암로33번길 13-10(광암동)","","","","","https://map.naver.com/p/search/%EC%8B%A0%EC%A7%80%EB%AF%B8%ED%97%A4%EC%96%B4%EB%9D%BC%EC%9D%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B4%91%EC%95%94%EB%A1%9C33%EB%B2%88%EA%B8%B8%2013-10%28%EA%B4%91%EC%95%94%EB%8F%99%29","","신지미헤어라인 경기도 동두천시 광암로33번길 13-10(광암동)","전체 주소 검색","https://map.naver.com/p/search/%EC%8B%A0%EC%A7%80%EB%AF%B8%ED%97%A4%EC%96%B4%EB%9D%BC%EC%9D%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B4%91%EC%95%94%EB%A1%9C33%EB%B2%88%EA%B8%B8%2013-10%28%EA%B4%91%EC%95%94%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"170","요리하는경더기","경기도 동두천시 중앙로134-20, 3층(지행동)","","","","","https://map.naver.com/p/search/%EC%9A%94%EB%A6%AC%ED%95%98%EB%8A%94%EA%B2%BD%EB%8D%94%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20%2C%203%EC%B8%B5%28%EC%A7%80%ED%96%89%EB%8F%99%29","","요리하는경더기 경기도 동두천시 중앙로134-20","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EC%9A%94%EB%A6%AC%ED%95%98%EB%8A%94%EA%B2%BD%EB%8D%94%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"174","으뜸코다리냉면","경기도 동두천시 생연로170-2, 1층(생연동)","","","","","https://map.naver.com/p/search/%EC%9C%BC%EB%9C%B8%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%83%89%EB%A9%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C170-2%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","으뜸코다리냉면 경기도 동두천시 생연로170-2","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EC%9C%BC%EB%9C%B8%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%83%89%EB%A9%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C170-2","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"176","장단콩터","경기도 동두천시 생연로119-1, 1층(생연동)","","","","","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%84%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C119-1%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","장단콩터 경기도 동두천시 생연로119-1","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%84%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C119-1","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"142","차희에스 머리사랑","경기도 동두천시 행선로98(생연동)","","","","","https://map.naver.com/p/search/%EC%B0%A8%ED%9D%AC%EC%97%90%EC%8A%A4%20%EB%A8%B8%EB%A6%AC%EC%82%AC%EB%9E%91%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%96%89%EC%84%A0%EB%A1%9C98%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","차희에스 머리사랑 경기도 동두천시 행선로98(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EC%B0%A8%ED%9D%AC%EC%97%90%EC%8A%A4%20%EB%A8%B8%EB%A6%AC%EC%82%AC%EB%9E%91%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%96%89%EC%84%A0%EB%A1%9C98%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"178","처가집(부대찌개)","경기도 동두천시 어수로91-3(생연동)","","","","","https://map.naver.com/p/search/%EC%B2%98%EA%B0%80%EC%A7%91%28%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%29%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C91-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","처가집(부대찌개) 경기도 동두천시 어수로91-3(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EC%B2%98%EA%B0%80%EC%A7%91%28%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%29%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C91-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"181","통큰부대찌개","경기도 동두천시 생연로39-60(지행동)","","","","","https://map.naver.com/p/search/%ED%86%B5%ED%81%B0%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C39-60%28%EC%A7%80%ED%96%89%EB%8F%99%29","","통큰부대찌개 경기도 동두천시 생연로39-60(지행동)","전체 주소 검색","https://map.naver.com/p/search/%ED%86%B5%ED%81%B0%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C39-60%28%EC%A7%80%ED%96%89%EB%8F%99%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
