"rowNumber","storeName","inputAddress","expectedSido","replacedInvalidCoordinate","status","resultCount","matchedAddress","latitude","longitude","message"
"184","페리카나역전점","경기도 동두천시 생연로120(생연동)","경기도","False","MATCHED","1","경기도 동두천시 생연로 120","37.9031574","127.0512406","시도 일치 단일 검색 결과"
"185","페리카나 터미널점","경기도 동두천시 중앙로265번길 15(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로265번길 15","37.9051863","127.0529224","시도 일치 단일 검색 결과"
"186","황주생고기","경기도 동두천시 생연로142(생연동)","경기도","False","MATCHED","1","경기도 동두천시 생연로 142","37.9050798","127.0519517","시도 일치 단일 검색 결과"
"187","롯데리아 동두천점","경기도 동두천시 중앙로270(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로 270","37.9056444","127.0542716","시도 일치 단일 검색 결과"
"188","빨간풍차제과점","경기도 동두천시 동광로78번길 4(생연동)","경기도","False","MATCHED","1","경기도 동두천시 동광로78번길 4 빨간풍차 과자점","37.908671","127.056708","시도 일치 단일 검색 결과"
"189","뿌리깊은나무","경기도 동두천시 안흥로78","경기도","False","MATCHED","1","경기도 동두천시 안흥로 78","37.927883","127.0427531","시도 일치 단일 검색 결과"
"190","청년다방","경기도 동두천시 평화로2261번길 9-6(지행동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2261번길 9-6","37.8894468","127.0558675","시도 일치 단일 검색 결과"
"191","커피&유","경기도 동두천시 정장로17번길 20","경기도","False","MATCHED","1","경기도 동두천시 정장로17번길 20","37.9054146","127.0530295","시도 일치 단일 검색 결과"
"249","솥뚜껑삼겹살","파주시 법원읍 사임당로 814","경기도","False","MATCHED","1","경기도 파주시 법원읍 사임당로 814","37.8495184","126.8712524","시도 일치 단일 검색 결과"
"280","고려이발관","경기도 수원시 팔달구 팔달로 135","경기도","False","MATCHED","1","경기도 수원시 팔달구 팔달로 135","37.2804619","127.0044836","시도 일치 단일 검색 결과"
